ETBL_ID,ETBL_NOM_FR,ETBL_NOM_EN,ETBL_DESC_FR,ETBL_DESC_EN,ETBL_RESERVABLE
429289,Casino de Montréal,Casino de Montréal,"Vivez le divertissement comme nulle part ailleurs! Bijou d¿architecture urbaine, le Casino de Montréal a tout pour plaire: des spectacles gratuits, 5 restaurants, 4 bars, un cabaret offrant soupers-spectacles et une grande sélection de jeux.","An entertainment experience like no other! An urban architectural jewel, the Casino de Montréal has what it<br />takes to please: free shows, 5 restaurants, 4 bars, a cabaret offering dinner shows, a wide variety of games and much more!",0
429298,Festival International de Jazz de Montréal,Festival International de Jazz de Montréal,"Les amateurs de toutes les musiques se donnent rendez-vous au plus important festival de jazz de la planète. Au total, 800 concerts - dont les deux tiers sont gratuits -, 600 activités et 2,5 millions de visiteurs par année sur le site accessible de midi à minuit!",Music lovers will have been attending the largest jazz festival on the planet. A total of 800 concerts-two thirds of them free-600 activities and 2.5 million visitors every year on a site that is open noon to midnight!,0
429479,Fête des neiges de Montréal,Fête des neiges de Montréal,"La Fête des neiges de Montréal... plus que de la neige! La Fête des neiges, c'est le grand festival hivernal de Montréal où les familles sont invitées à jouer dehors et à profiter d'une multitude d'activités pour tous les goûts, dans le décor féerique du parc Jean-Drapeau.","Montréal's ""snow festival"" is much more than snow! Don't miss this fabulous winter celebration where families are invited to play outdoors and enjoy an array of activities with something for everyone, in the magical setting of Parc Jean-Drapeau.",0
429487,Francos de Montréal,Francos de Montréal,"Depuis 1989, Les FrancoFolies de Montréal vous invitent à découvrir la crème de la musique francophone et du monde. Près de 70 spectacles en salle et 180 concerts extérieurs gratuits témoignent en toute réjouissance de la qualité, de la diversité et de la vitalité d'une programmation riche en musique.","Since 1989, Les FrancoFolies de Montréal has invited you to discover the top acts in Francophone and world music. Nearly 70 indoor shows and 180 free outdoor concerts attest to the effervescent quality, diversity and energy of a music-rich, fun-filled program!",0
429705,Croisières CTMA,CTMA Cruises,"Croisières CTMA est la seule compagnie à proposer un voyage d¿une semaine sur le fleuve Saint-Laurent à destination des Îles-de-la-Madeleine, incluant un séjour de trois jours dans l¿archipel. Il s¿agit d¿une expérience incomparable qui permet de découvrir les côtes du Québec et toutes les richesses du Saint-Laurent.",CTMA Cruises has offered the one and only cruise on the St. Lawrence River to the Îles-de-la-Madeleine including a 3-day stay on the archipelago. This incomparable Madelinot experience also makes it possible to discover the magnificent Québec shoreline and all the riches of the St. Lawrence River.,0
429885,Carnaval de Québec en collaboration avec Loto-Québec,Québec Winter Carnival in collaboration with Loto-Québec,"Depuis 1955, le plus grand carnaval d¿hiver au monde célèbre les joies de l¿hiver. Venez saluer Bonhomme Carnaval et prenez part à cette grande fête hivernale : palais de glace, défilés de nuit, course en canot à glace, sculpture sur neige, bain de neige, sports et jeux carnavalesques, etc.","Since 1955, the largest winter carnival in the world has been celebrating the joys of the season. Experience the thrills by taking part in a variety of winter activities: Ice palace, night parades, canoe race, snow sculptures, snow bath, winter games and much more. Come say ""bonjour"" to Bonhomme Carnaval!",0
429975,Sanctuaire de Sainte-Anne-de-Beaupré,Shrine of Sainte-Anne-de-Beaupré,"Bienvenue au plus ancien lieu de pèlerinage en Amérique du Nord! Fréquenté depuis plus de 350 ans, ce haut lieu de la foi est dédié à sainte Anne, la grand-mère de Jésus! Son histoire extraordinaire vous sera racontée à travers des chefs-d'oeuvres artistiques à la Basilique et au musée.","Welcome to the oldest pilgrimage site in North America! The Shrine has been welcoming people from all walks of life for over 350 years. This renowned pilgrimage site is dedicated to Saint Anne, the grandmother of Jesus. Discover its extraordinary history through numerous artistic masterpieces at the Basilica and the museum.",0
430024,Casino de Charlevoix,Casino de Charlevoix,"Le Casino de Charlevoix vous propose une expérience unique au-delà de tout ce que vous imaginez: Jeux, restaurants, bars, et spectacles.","The Casino de Charlevoix offers you an experience above and beyond anything you can imagine: Games, restaurants, bars and shows; all combine to provide unique times.",0
430123,Festival de Lanaudière,Festival de Lanaudière,"Un des événements les plus prestigieux en Amérique du Nord, ce festival de musique classique s¿assure la participation de solistes de grand renom de la scène nationale et internationale. Les concerts et récitals ont lieu à l¿Amphithéâtre Fernand-Lindsay, à la Salle Rolland-Brunelle ainsi que dans plusieurs églises de la région.","Recognized as one of the most prestigious classical music events in North America, this festival boasts the participation of nationally and internationally renowned soloists. The concerts and recitals are held at Joliette¿s Amphithéâtre Fernand-Lindsay, the Salle Rolland-Brunelle, and churches throughout the region.",0
430161,Grand Prix Ski-Doo de Valcourt,Grand Prix Ski-Doo de Valcourt,"Le GPSV est le seul événement à présenter sept types de courses (motoneiges, motos et VTT sur ovale de glace, snocross, courses d¿accélération, etc.) opposant les meilleurs pilotes au monde sur le légendaire circuit Yvon-Duhamel. Zone familiale, soirée festive le vendredi et le samedi soir.","The GPSV is the only event to present seven types of races (snowmobile, motocross and ATV on ice oval, snocross, drag, ...) featuring the best racers in the world on the legendary Yvon-Duhamel track. Family zone, activities on Friday and Saturday night. Action and an explosive atmosphere guaranteed!",0
