ETBL_ID,ADR_ID,ADR_GENRE_ID,ADR_GENRE_FR,ADR_GENRE_EN,ADR_PRINCIPALE,ADR_CIVIQUE,ADR_MUNICIPALITE,ADR_PROVINCE,ADR_PAYS,ADR_CODE_POSTAL,ADR_PNT_SERVC_FR,ADR_PNT_SERVC_EN,ADR_PNT_SERVC_DEFAUT,ADR_LATITUDE,ADR_LONGITUDE,ADR_COMMENT_FR,ADR_COMMENT_EN
429289,2019747,7,Exploitation,Operations,1,"1, av. du Casino",Montréal,Québec,Canada,H3C4W7,,,1,45.505898,-73.526147,,
429298,98519689,209089734,Lieu de l'événement,Site of event,1,,Montréal,Québec,Canada,H2X3X5,Quartier des spectacles,Quartier des spectacles,1,45.507396,-73.567234,,
429479,98531954,209089734,Lieu de l'événement,Site of event,1,Chemin du Tour de l'isle,Montréal,Québec,Canada,H3C4W7,Parc Jean-Drapeau,Parc Jean-Drapeau,1,45.512753,-73.534524,,
429487,98518828,209089734,Lieu de l'événement,Site of event,1,,Montréal,Québec,Canada,H2X2A3,Quartier des spectacles,Quartier des spectacles,1,45.507371,-73.567182,,
429705,101837772,207849054,Départ,Boarding point,1,240 chemin du Quai,Les Îles-de-la-Madeleine,Québec,Canada,G4T1J4,Cap-aux-Meules,Cap-aux-Meules,1,47.380459,-61.853886,,
429705,101838057,207849054,Départ,Boarding point,1,"200, rue de la Commune O.",Montréal,Québec,Canada,H2Y4B2,Montréal - Terminal des croisières,Montréal,0,45.495759,-73.546901,,
429885,356261996,209089734,Lieu de l'événement,Site of event,1,,Québec,Québec,Canada,,Place George-V,Place George-V,1,46.806614,-71.214939,Plusieurs autres lieux &agrave; Qu&eacute;bec,Many other locations in Qu&eacute;bec City
429975,1599445,7,Exploitation,Operations,1,"10018, av. Royale",Sainte-Anne-de-Beaupré,Québec,Canada,G0A3C0,,,1,47.024595,-70.92845,,
430024,24718271,7,Exploitation,Operations,1,"183, rue Richelieu",La Malbaie,Québec,Canada,G5A1X8,,,1,47.621533,-70.144702,,
430123,1436039,209089734,Lieu de l'événement,Site of event,1,"1655, boul. Base de Roc",Joliette,Québec,Canada,J6E0L1,Amphithéâtre Fernand-Lindsay,Fernand-Lindsay Amphitheatre,1,46.006704,-73.415766,,
430161,219700668,209089734,Lieu de l'événement,Site of event,1,"917, route 222",Maricourt,Québec,Canada,J0E1Y0,Circuit Yvon-Duhamel,Circuit Yvon-Duhamel,1,45.556528,-72.321865,,
430226,99604368,7,Exploitation,Operations,1,,,,,,Centre de découverte et de services - Mont-Albert,Discovery and Services Centre - Mont Albert,1,48.947453,-66.122639,,
430256,1270594,7,Exploitation,Operations,1,"600, ch. du Hibou",Stoneham-et-Tewkesbury,Québec,Canada,G3C1T3,,,1,47.027016,-71.38294,,
