Nom de la borne de recharge,Nom du parc,Adresse,Niveau de recharge,Latitude,Longitude,Coût
CEA-10804,FCR - Place Nelligan,"1134 St-René Boulevard West, Gatineau, QC, J8T 6H1",Level2,45.487851,-75.70122,"1,00 $ (CAD) de l'heure"
CEA-10097,DGI - Complexe Desjardins,"1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2",Level2,45.507924,-73.56414,"1,00 $ (CAD) de l'heure"
CEA-11115,Municipalité de Saint-Adrien,"1589 Principale, Saint-Adrien, QC, J0A 1C0",Level2,45.8195769,-71.7250025,"1,00 $ (CAD) de l'heure"
CEC-00073,BRCC - CDSMML - Paspébiac,"5 Boul. Gérard-D-Lévesque Est, Pasbébiac, QC, G0C 2K0",FastDC,48.029571,-65.24814,"10,00 $ (CAD) de l'heure"
CEA-067,1482 | BHR | SLA | 2727 Thiemens : Bibliothèque du Boisé,"2727 boul. Thimens, Saint-Laurent, QC, H4R 1T4",Level2,45.504816,-73.70434,"2,50 $ (CAD) par session"
CEA-10480,Sur Rue - Mont Tremblant - Parc Daniel-Lauzon,"268 rue du Couvent, Mont Tremblant, QC, J8E 1K6",Level2,46.195234,-74.623006,"1,00 $ (CAD) de l'heure"
CEC-00062,BRCC - Ville d'Otterburn Park - Halte Touristique,"761 chemin des Patriotes, Otterburn Park, QC, J3H 1Z5",FastDC,45.544704,-73.211785,"10,00 $ (CAD) de l'heure"
CEC-00194,BRCC - Val-d'Or - Dépanneur Voisin Beauséjour,"315 route 117, Val d'Or, QC, J9P 7C4",FastDC,48.07221,-77.382662,"10,00 $ (CAD) de l'heure"
CEA-238 B,Hydro-Québec - CA Lebourgneuf,"2625 boul. Lebourgneuf, Québec, QC, G2C 1P1",Level2,46.82593425,-71.31671042,"2,50 $ (CAD) par session"
CEA-461,Shawinigan - Aréna Gilles Bourassa,"1705 117e rue, Shawinigan-Sud, QC, G9N 6V3",Level2,46.51708,-72.75541,"1,00 $ (CAD) de l'heure"
CEA-10277,Ski Garceau,"190 Chemin du Lac Blanc, Saint-Donat-de-Montcalm, QC, J0T 2C0",Level2,46.337653,-74.22065,"1,00 $ (CAD) de l'heure"
CEA-11250,RIO - Parc Olympique,"4141 Avenue Pierre-De Coubertin, Montréal, QC, H1V 3N7",Level2,45.55541773,-73.5513812,"2,50 $ (CAD) par session"
CEA-10630,Le Westin Resort & Spa - Tremblant,"100 chemin de Kandahar, Mont-Tremblant, QC, J8E 1E2",Level2,46.212627,-74.586809,"1,00 $ (CAD) de l'heure"
CEA-470,St-Hubert - Beauport,"3410 boul. Ste-Anne, Québec, QC, G1E 3L7",Level2,46.852512,-71.19589,"1,00 $ (CAD) de l'heure"
CEA-10392,Beaconsfield - Parc Christmas,"424 boul Beaconsfield, Beaconsfield, QC, H9W 4B7",Level2,45.419853,-73.87836,"1,00 $ (CAD) de l'heure"
CEA-10306,301 | BSR | RPP | 6511 St-André,"6511 Rue Saint-André, Montréal, QC, H2S 2K7",Level2,45.536686,-73.603005,"1,00 $ (CAD) de l'heure"
CEA-10031,St-Hubert - Mont-Tremblant,"330 rue de St-Jovite, Mont-Tremblant, QC, J8E 2Z9",Level2,46.11919866,-74.56836031,"1,00 $ (CAD) de l'heure"
CEA-10202,Decarie Square,"6900 Boul. Décarie, Montréal, QC, H3X 2T8",Level2,45.490428,-73.650335,"1,00 $ (CAD) de l'heure"
CEA-006,PJC - Greenfield Park,"3216 boulevard Taschereau, Greenfield Park, QC, J4V 2H3",Level2,45.49529117,-73.48362277,"1,00 $ (CAD) de l'heure"
CEC-00099,BRCC - St-Hubert - St-Hyacinthe,"1230 rue Daniel-Johnson Ouest, St-Hyacinthe, QC, J2S 7K7",FastDC,45.640278,-72.969306,"10,00 $ (CAD) de l'heure"
CEA-10848,717 | BSR | CDN-NDG | 5225 Sherbrooke,"5225 Sherbrooke, Montréal, QC, H4A 1V1",Level2,45.474704,-73.608527,"1,00 $ (CAD) de l'heure"
CEA-10156,703 | BSR | CDN-NDG | 5038 rue Sherbrooke O,"5038 Sherbrooke O, Montréal, QC, H4A 1S7",Level2,45.476487,-73.606153,"1,00 $ (CAD) de l'heure"
CEA-11316 ,1301 | BSR | OUTR | 1311 Bernard,"1311 avenue Bernard, Outremont, QC, H1N 2B6",Level2,45.519056,-73.609774,"1,00 $ (CAD) de l'heure"
CEA-10465,Municipalité de Saint-Étienne-des-Grès,"1260 rue Saint-Alphonse, Saint-Étienne-des-Grès, QC, G0X 2P0",Level2,46.441985,-72.771073,"1,00 $ (CAD) de l'heure"
CEA-124,FCR - Carrefour St-David Ouest,"2837 avenue St-David, Québec, QC, G1C 0J3",Level2,46.865528,-71.216852,"1,00 $ (CAD) de l'heure"
CEA-11179,Laval - Centre communautaire Lausanne,"1333 boul. Chomedey, bureau 601, Laval, QC, H7V 3Z4",Level2,45.618488,-73.719237,"1,00 $ (CAD) de l'heure"
CEA-090,1280 | BHR | SLE | 5300 Robert : Aréna Martin-Brodeur,"5300 Boulevard Robert, St-Léonard, QC, H1R 1R1",Level2,45.58554,-73.59837,"2,50 $ (CAD) par session"
CEA-10100,Musée J. Armand Bombardier,"1001 Avenue J.A. Bombardier, Valcourt, QC, J0E 2L0",Level2,45.494204,-72.310161,"2,50 $ (CAD) par session"
CEA-11445,1302 | BSR | OUTR | 123 Querbes,"123 Avenue Querbes, Montréal, QC, H3T 1Z1",Level2,45.517579,-73.598371,"2,50 $ (CAD) par session"
CEA-10637,808 | BSR | SO | 6098 Mazarin,"6098 Rue Mazarin, Montréal, QC, H4E 2X2",Level2,45.456132,-73.601308,"1,00 $ (CAD) de l'heure"
CEA-11014,105 | BSR | AC | 1530 Fleury,"1530 rue Fleury, Montréal, QC, H2C 2Y6",Level2,45.562906,-73.656227,"1,00 $ (CAD) de l'heure"
CEA-10378,109 | BSR | AC | 205 Chabanel,"205 Rue Chabanel O, Montréal, QC, H2N 1G3",Level2,45.540928,-73.653312,"1,00 $ (CAD) de l'heure"
CEA-10843,320 | BSR | RPP | 3810 Rosemont,"3810 boul. Rosemont, Montréal, QC, H1X 2P6",Level2,45.5578,-73.576045,"1,00 $ (CAD) de l'heure"
CEA-10183,625 | BSR | VM | 1956 Frontenac,"1956 Rue Frontenac, Montréal, QC, H2K 2Z1",Level2,45.532725,-73.552184,"1,00 $ (CAD) de l'heure"
CEA-152,St-Hubert - Rimouski,"395 Boulevard Arthur-Buies Est, Rimouski, QC, G5M 1Y1",Level2,48.4529157,-68.49426907,"1,00 $ (CAD) de l'heure"
CEA-197,Hydro-Québec - St-Hubert,"5250 Armand-Frappier, St-Hubert, QC, J3Z 1G3",Level2,45.45869,-73.40989,"2,50 $ (CAD) par session"
CEA-10840,316 | BSR | RPP | 4300 Bélanger,"4300A Bélanger, Montréal, QC, H1T 3M1",Level2,45.566674,-73.585495,"1,00 $ (CAD) de l'heure"
CEA-10544,820 | BSR | SO | 3041 Notre-Dame,"3041 Notre-Dame , Montréal, QC, H4C 2J2",Level2,45.480917,-73.578968,"1,00 $ (CAD) de l'heure"
CEA-11172,Municipalité de Natashquan,"29 Chemin d'en Haut, Natashquan, QC, G0G 2E0",Level2,50.18635,-61.822233,"1,00 $ (CAD) de l'heure"
CEA-245,Lacolle - Halte Cycliste,"103 Rue de l'Église Sud, Lacolle, QC, J0J 1J0",Level2,45.074214,-73.37503,"1,00 $ (CAD) de l'heure"
CEA-10000,CAA-Québec,"444 rue Bouvier, Québec, QC, G2J 1E3",Level2,46.83772091,-71.26914564,"1,00 $ (CAD) de l'heure"
CEB-10029,RONA - Québec,"1500 rue Bouvier, Québec, QC, G2K 1N8",Level2,46.827658,-71.293394,"1,00 $ (CAD) de l'heure"
